,location,bath,balcony,price,total_sqft_int,bhk
1971,others,4.0,2.0,340.0,2735.0,3
1973,others,2.0,2.0,37.0,708.0,2
1974,others,1.0,1.0,40.0,708.0,2
1975,others,2.0,1.0,42.5,965.0,2
1977,others,2.0,1.0,42.0,814.0,2
1978,others,2.0,1.0,65.0,1163.0,2
1979,others,2.0,1.0,68.0,1286.0,3
1980,others,2.0,1.0,31.15,708.0,2
1981,others,1.0,1.0,41.0,708.0,1
1982,others,2.0,1.0,43.7,814.0,2
1983,others,2.0,1.0,65.0,1295.0,2
1984,others,2.0,1.0,75.0,1520.0,3
1985,others,2.0,3.0,55.0,1300.0,2
1986,others,2.0,0.0,70.0,1150.0,2
1987,others,3.0,3.0,120.0,2100.0,3
1988,others,2.0,2.0,52.0,1220.0,2
1989,others,2.0,1.0,60.0,1375.0,2
1990,others,2.0,1.0,78.56,1333.0,2
1991,others,2.0,2.0,62.0,1220.0,2
1992,others,2.0,2.0,49.0,1160.0,2
1993,others,2.0,2.0,126.0,1150.0,2
1994,others,4.0,1.5843757375501535,986.0,6600.0,4
1995,others,2.0,2.0,125.0,1150.0,2
1996,others,4.0,3.0,365.0,2800.0,4
1997,others,2.0,1.5843757375501535,172.0,1270.0,2
1998,others,6.0,3.0,2800.0,8000.0,6
1999,others,2.0,2.0,75.0,1100.0,2
2000,Devanahalli,2.0,2.0,66.78,1260.0,2
2001,Devanahalli,2.0,2.0,68.52,1282.0,3
2002,Devanahalli,2.0,1.0,65.0,1360.0,2
2003,Devanahalli,2.0,2.0,85.0,1408.0,2
2004,Devanahalli,2.0,1.0,51.0,1010.0,2
2005,Devanahalli,2.0,0.0,53.35,1080.0,2
2006,Devanahalli,5.0,3.0,100.0,2400.0,5
2009,Devanahalli,2.0,1.0,59.0,1174.0,2
2010,Devanahalli,1.0,1.0,34.0,658.0,1
2011,Devanahalli,1.0,0.0,26.91,658.0,1
2012,Devanahalli,1.0,0.0,28.57,698.5,1
2013,Devanahalli,2.0,1.0,52.0,1080.0,2
2014,Devanahalli,3.0,0.0,88.2,1700.0,3
2015,Devanahalli,3.0,3.0,79.15,1498.0,3
2016,Devanahalli,3.0,3.0,77.59,1466.0,3
2017,Devanahalli,1.0,0.0,39.0,775.0,1
2018,Devanahalli,2.0,1.0,49.87,1020.0,1
2019,Devanahalli,2.0,2.0,48.0,1045.0,2
2020,Devanahalli,3.0,1.0,85.0,1550.0,3
2022,Devanahalli,2.0,1.0,65.0,1340.0,2
2023,Devanahalli,3.0,1.0,107.0,2125.0,3
2024,Devanahalli,2.0,1.0,56.45,1230.0,2
2025,Devanahalli,2.0,0.0,62.425,1360.0,2
2026,Devanahalli,1.0,1.0,26.91,658.0,1
2028,Devanahalli,2.0,1.0,58.0,1010.0,2
2031,others,2.0,1.0,80.0,1380.0,2
2032,others,2.0,1.0,62.0,1080.0,2
2033,Devarachikkanahalli,2.0,1.0,58.0,1230.0,2
2034,others,3.0,2.0,70.0,1460.0,3
2035,others,2.0,2.0,45.0,1090.0,2
2036,others,2.0,2.0,45.0,946.0,2
2037,others,2.0,3.0,60.0,1470.0,3
2038,others,3.0,2.0,105.0,2000.0,3
2039,others,3.0,3.0,68.0,1410.0,3
2040,others,2.0,1.5843757375501535,65.0,1100.0,2
2041,others,2.0,2.0,64.44,1611.0,3
2042,others,2.0,2.0,64.4,1610.0,3
2043,others,2.0,1.0,53.56,1339.0,2
2044,others,2.0,3.0,62.0,1520.0,2
2045,others,2.0,1.0,44.0,1125.0,2
2046,others,2.0,2.0,42.0,1000.0,2
2047,others,2.0,1.0,47.0,1225.0,2
2048,others,2.0,2.0,46.8,1215.0,3
2049,others,3.0,2.0,56.0,1500.0,3
2050,others,2.0,2.0,60.0,1300.0,3
2051,others,3.0,2.0,75.0,1600.0,3
2052,others,2.0,1.0,45.0,1015.0,2
2053,Dodda Nekkundi,2.0,2.0,55.0,1260.0,2
2054,Dodda Nekkundi,2.0,3.0,28.0,850.0,2
2055,Dodda Nekkundi,2.0,2.0,60.0,1390.0,2
2056,Dodda Nekkundi,3.0,2.0,121.0,1804.0,3
2057,Dodda Nekkundi,2.0,2.0,50.0,1080.0,2
2058,Dodda Nekkundi,3.0,2.0,132.0,1999.0,3
2059,Dodda Nekkundi,2.0,2.0,48.0,1100.0,2
2060,Dodda Nekkundi,3.0,2.0,135.0,1999.0,3
2061,Dodda Nekkundi,2.0,1.0,41.15,1100.0,2
2062,Dodda Nekkundi,2.0,1.0,71.0,1252.0,3
2063,Dodda Nekkundi,2.0,1.0,46.0,1155.0,2
2064,Dodda Nekkundi,2.0,2.0,45.0,1128.0,2
2065,Dodda Nekkundi,2.0,1.0,56.0,1148.0,2
2067,Dodda Nekkundi,2.0,1.0,46.5,1145.0,2
2068,Dodda Nekkundi,3.0,2.0,125.0,1829.0,3
2069,Dodda Nekkundi,2.0,1.0,41.16,1100.0,2
2070,Dodda Nekkundi,2.0,1.0,46.75,1100.0,2
2071,Dodda Nekkundi,2.0,2.0,50.0,1315.0,2
2072,Dodda Nekkundi,2.0,2.0,58.0,1135.0,2
2073,Dodda Nekkundi,2.0,1.0,41.18,1100.0,2
2074,Dodda Nekkundi,2.0,2.0,60.0,1370.0,2
2075,Dodda Nekkundi,2.0,2.0,71.0,1200.0,2
2076,Dodda Nekkundi,2.0,2.0,79.0,1585.0,3
2077,Dodda Nekkundi,2.0,2.0,45.0,1005.0,2
2078,Dodda Nekkundi,2.0,1.5843757375501535,52.0,1264.0,2
2079,others,2.0,2.0,60.0,1148.0,2
2080,others,2.0,3.0,73.0,1188.0,2
2081,others,2.0,2.0,69.0,1148.0,2
2082,others,3.0,3.0,115.0,1864.0,3
2083,others,2.0,2.0,87.0,1458.0,3
2084,others,4.0,3.0,325.0,4200.0,4
2085,others,3.0,1.0,300.0,3876.0,3
2086,others,4.0,2.0,195.0,2776.0,3
2087,others,3.0,1.0,142.0,2440.0,3
2088,others,3.0,0.0,200.0,2400.0,4
2089,others,1.0,1.0,49.0,654.0,1
2090,others,5.0,1.5843757375501535,270.0,3206.0,4
2091,others,2.0,2.0,37.0,830.0,2
2092,others,2.0,2.0,30.0,800.0,2
2093,others,3.0,2.0,45.33,1290.0,3
2094,others,3.0,1.0,74.0,1200.0,3
2095,others,2.0,3.0,70.0,1550.0,3
2096,others,5.0,2.0,145.0,3150.0,8
2097,others,2.0,3.0,32.0,1300.0,2
2098,others,2.0,3.0,39.0,1250.0,2
2099,others,1.0,2.0,27.0,747.0,1
2100,others,2.0,1.0,40.39,1010.0,2
2105,others,2.0,1.0,40.39,1010.0,2
2106,others,2.0,1.0,42.87,1072.0,2
2107,others,2.0,1.0,40.4,1010.0,2
2108,others,2.0,1.0,41.0,1010.0,2
2109,others,2.0,1.0,42.87,1072.0,2
2110,others,2.0,1.0,60.0,1550.0,3
2111,others,2.0,2.0,56.0,1180.0,2
2112,others,2.0,3.0,62.0,1409.0,3
2113,others,2.0,1.0,48.5,1119.0,3
2114,others,2.0,3.0,55.0,1160.0,2
2115,others,3.0,2.0,70.0,1475.0,3
2116,others,2.0,1.0,48.0,1025.0,2
2117,others,1.0,2.0,65.01,1512.0,2
2118,others,3.0,3.0,95.0,1768.0,3
2119,others,2.0,1.0,49.0,1092.0,2
2120,others,3.0,3.0,176.0,1760.0,3
2121,others,2.0,2.0,40.0,1280.0,2
2122,others,4.0,3.0,154.0,2045.0,3
2123,others,2.0,1.0,59.0,1148.0,2
2124,others,2.0,2.0,48.4,1128.0,2
2125,Doddathoguru,2.0,0.0,33.0,970.0,2
2126,Doddathoguru,2.0,1.0,32.0,1050.0,2
2127,Doddathoguru,2.0,1.0,25.0,850.0,2
2128,Doddathoguru,2.0,2.0,42.0,1030.0,2
2129,Doddathoguru,3.0,2.0,65.0,1549.0,3
2131,Doddathoguru,1.0,1.0,17.0,550.0,1
2132,Doddathoguru,2.0,2.0,33.5,1015.0,2
2133,Doddathoguru,2.0,2.0,39.0,1104.0,2
2134,Doddathoguru,2.0,1.0,32.0,915.0,2
2135,Doddathoguru,1.0,1.0,25.5,750.0,1
2136,Doddathoguru,3.0,3.0,62.0,1595.0,3
2137,Doddathoguru,2.0,1.0,32.0,855.0,2
2138,Doddathoguru,2.0,1.0,50.0,1105.0,2
2139,Doddathoguru,2.0,2.0,30.0,925.0,2
2141,Doddathoguru,3.0,1.0,45.0,1208.0,3
2142,Doddathoguru,2.0,2.0,50.0,1100.0,2
2143,Doddathoguru,2.0,1.0,32.9,940.0,2
2144,Doddathoguru,3.0,1.0,65.0,1382.0,3
2145,Doddathoguru,2.0,3.0,44.0,1107.0,2
2146,Doddathoguru,2.0,1.0,40.0,907.0,2
2147,Doddathoguru,3.0,3.0,85.0,1783.0,3
2148,Doddathoguru,1.0,1.0,17.0,550.0,1
2149,others,4.0,1.5843757375501535,2100.0,30000.0,4
2150,others,2.0,2.0,80.0,1400.0,2
2151,others,3.0,3.0,99.0,1717.0,3
2152,others,3.0,2.0,99.0,1594.0,3
2153,others,3.0,2.0,115.0,1893.0,3
2154,others,2.0,3.0,85.0,1400.0,2
2155,others,4.0,2.0,1824.0,30400.0,6
2158,others,4.0,3.0,350.0,3500.0,4
2159,others,5.0,1.0,385.0,3100.0,4
2160,others,2.0,3.0,65.0,1097.0,2
2161,others,3.0,0.0,75.0,1350.0,3
2162,others,3.0,2.0,2000.0,7800.0,3
2163,others,3.0,2.0,280.0,2100.0,4
2164,others,3.0,3.0,200.0,2000.0,3
2165,others,3.0,2.0,88.0,1460.0,3
2166,others,3.0,3.0,220.0,2456.0,3
2167,Domlur,3.0,2.0,90.0,1540.0,3
2168,Domlur,2.0,2.0,150.0,1875.0,3
2169,Domlur,3.0,3.0,86.0,1429.0,3
2170,Domlur,1.0,0.0,55.0,640.0,1
2171,Domlur,2.0,2.0,85.0,1050.0,2
2172,Domlur,3.0,2.0,150.0,1800.0,3
2173,Domlur,3.0,1.0,135.0,1720.0,3
2174,Domlur,3.0,3.0,165.0,1950.0,3
2175,Domlur,3.0,2.0,285.0,2180.0,3
2176,Domlur,1.0,1.0,70.0,650.0,1
2177,Domlur,1.0,1.0,70.0,780.0,1
2178,Domlur,3.0,2.0,285.0,2180.0,3
2179,Domlur,3.0,0.0,120.0,1740.0,3
2180,Domlur,3.0,2.0,125.0,1695.0,3
2181,Domlur,2.0,1.0,95.0,1246.0,2
2182,Domlur,3.0,2.0,145.0,2100.0,3
2183,Domlur,2.0,2.0,80.0,1276.0,2
2184,Domlur,3.0,1.0,180.0,1850.0,3
2185,Domlur,3.0,1.5843757375501535,235.0,2955.0,3
2186,Domlur,3.0,1.0,180.0,1650.0,3
2187,others,2.0,2.0,160.0,900.0,2
2188,others,2.0,1.0,22.14,805.0,2
2189,others,2.0,2.0,43.5,1153.0,2
2190,others,2.0,2.0,43.5,1090.0,2
2191,others,2.0,1.0,25.4,850.0,2
2192,others,2.0,2.0,32.9,999.0,2
2193,others,2.0,1.0,100.0,1340.0,3
2194,others,3.0,2.0,199.0,2250.0,3
2195,others,3.0,1.0,150.0,1625.0,3
2196,others,3.0,1.0,105.0,1596.0,3
2197,others,3.0,0.0,95.0,1596.0,3
2198,others,3.0,1.0,115.0,1570.0,3
2199,others,2.0,1.0,65.0,1500.0,3
2200,others,2.0,1.0,54.0,1200.0,2
2201,others,2.0,1.0,67.0,1132.0,2
2203,EPIP Zone,2.0,2.0,82.0,1285.0,2
2204,EPIP Zone,3.0,2.0,162.0,2330.0,3
2205,EPIP Zone,2.0,1.0,92.5,1330.0,2
2206,EPIP Zone,2.0,1.0,86.98,1330.0,2
2207,EPIP Zone,2.0,1.0,93.36,1330.0,2
2209,EPIP Zone,3.0,3.0,102.0,1500.0,3
2210,EPIP Zone,2.0,1.0,69.0,1280.0,2
2211,EPIP Zone,2.0,1.0,65.0,1125.0,2
2212,EPIP Zone,3.0,3.0,125.0,1734.0,3
2214,EPIP Zone,2.0,2.0,86.0,1343.0,2
2215,EPIP Zone,4.0,2.0,163.0,2350.0,3
2216,EPIP Zone,3.0,2.0,130.0,1860.0,3
2217,EPIP Zone,3.0,3.0,165.0,2210.0,3
2218,EPIP Zone,3.0,2.0,177.0,2710.0,3
2220,others,3.0,0.0,110.0,1650.0,3
2221,others,2.0,1.0,70.0,1190.0,2
2222,others,3.0,3.0,135.0,2070.0,3
2223,others,3.0,3.0,95.0,1600.0,3
2224,others,2.0,0.0,75.0,1210.0,2
2227,Electronic City,2.0,1.0,64.5,1500.0,3
2228,Electronic City,2.0,1.0,60.0,1060.0,2
2229,Electronic City,2.0,1.0,64.5,1152.0,2
2231,Electronic City,1.0,1.0,36.0,770.0,2
2232,Electronic City,2.0,1.0,52.0,1070.0,2
2233,Electronic City,2.0,1.0,46.0,1025.0,2
2234,Electronic City,1.0,1.0,27.0,589.0,1
2236,Electronic City,2.0,1.0,40.0,910.0,2
2237,Electronic City,2.0,1.0,63.0,1108.0,2
2238,Electronic City,2.0,1.0,65.0,1128.0,2
2239,Electronic City,3.0,2.0,95.0,1800.0,3
2240,Electronic City,1.0,1.0,34.65,630.0,1
2241,Electronic City,2.0,1.0,63.0,1128.0,2
2242,Electronic City,3.0,2.0,99.0,1599.0,3
2245,Electronic City,2.0,1.0,55.0,1070.0,2
2246,Electronic City,2.0,1.0,41.0,940.0,2
2248,Electronic City,2.0,1.0,68.75,1128.0,2
2249,Electronic City,2.0,1.0,73.3,1342.0,2
2250,Electronic City,2.0,1.0,71.0,1360.0,3
2252,Electronic City,2.0,0.0,56.93,1265.0,2
2253,Electronic City,2.0,2.0,102.0,1691.0,3
2254,Electronic City,2.0,1.0,65.49,1128.0,2
2257,Electronic City,2.0,1.0,56.1,1070.0,2
2258,Electronic City,4.0,0.0,120.0,2000.0,4
2259,Electronic City,2.0,2.0,45.0,890.0,2
2260,Electronic City,2.0,1.0,65.65,1128.0,2
2261,Electronic City,2.0,0.0,42.0,865.0,2
2263,Electronic City,2.0,2.0,42.0,910.0,2
2265,Electronic City,2.0,1.0,75.0,1360.0,3
2266,Electronic City,1.0,1.0,40.0,770.0,2
2267,Electronic City,2.0,1.0,64.0,1128.0,2
2268,Electronic City,2.0,1.0,54.0,1070.0,2
2270,Electronic City,3.0,2.0,89.0,1571.0,3
2271,Electronic City,3.0,1.0,50.0,1111.0,3
2272,Electronic City,2.0,1.0,39.5,870.0,2
2274,Electronic City,2.0,1.0,72.0,1374.0,3
2276,Electronic City,2.0,1.0,65.35,1128.0,2
2277,Electronic City,2.0,1.0,65.0,1128.0,2
2278,Electronic City,1.0,1.0,34.0,755.0,2
2282,Electronic City,3.0,2.0,91.84,1563.0,3
2285,Electronic City,2.0,1.0,54.5,1025.0,2
2286,Electronic City,2.0,1.0,46.0,1070.0,2
2287,Electronic City,3.0,2.0,58.0,1350.0,3
2290,Electronic City,3.0,2.0,75.0,1700.0,3
2292,Electronic City,2.0,1.0,68.0,1128.0,2
2293,Electronic City,1.0,1.0,35.0,700.0,1
2294,Electronic City,2.0,1.0,70.5,1360.0,3
2296,Electronic City,3.0,2.0,105.0,1571.0,3
2300,Electronic City,3.0,2.0,104.0,1600.0,3
2302,Electronic City,2.0,1.0,100.0,1500.0,3
2306,Electronic City,2.0,1.0,65.0,1152.0,2
2307,Electronic City,2.0,1.0,60.0,1070.0,2
2308,Electronic City,2.0,1.0,65.5,1128.0,2
2309,Electronic City,2.0,1.0,59.0,1200.0,2
2310,Electronic City,2.0,1.0,65.75,1152.0,2
2312,Electronic City,2.0,1.0,55.0,1070.0,2
2313,Electronic City,2.0,1.0,58.0,1060.0,2
2314,Electronic City,2.0,1.0,54.1,1025.0,2
2317,Electronic City,2.0,1.0,78.0,1500.0,3
2318,Electronic City,2.0,1.0,59.32,1213.0,2
2319,Electronic City,3.0,2.0,90.0,1575.0,3
2320,Electronic City,3.0,2.0,100.0,1449.0,3
2322,Electronic City,2.0,1.0,58.0,1125.0,2
2324,Electronic City,3.0,3.0,101.0,1575.0,3
2325,Electronic City,1.0,1.0,12.0,550.0,1
2326,Electronic City,2.0,2.0,40.0,919.0,2
2327,Electronic City,2.0,1.0,78.25,1500.0,3
2328,Electronic City,2.0,1.0,79.0,1363.0,2
2331,Electronic City,2.0,1.0,67.15,1108.0,2
2333,Electronic City,2.0,1.0,65.7,1128.0,2
2335,Electronic City,2.0,1.0,51.0,1060.0,2
2337,Electronic City,3.0,2.0,100.0,1650.0,3
2339,Electronic City,2.0,1.0,49.0,1025.0,2
2341,Electronic City,3.0,2.0,90.0,1449.0,3
2343,Electronic City,2.0,1.0,58.0,1070.0,2
2344,Electronic City,2.0,1.0,54.0,1210.0,2
2345,Electronic City,2.0,1.0,75.0,1500.0,3
2346,Electronic City,2.0,1.0,52.0,1070.0,2
2347,Electronic City,4.0,3.0,119.0,2435.0,4
2351,Electronic City,2.0,2.0,60.0,1073.0,2
2352,Electronic City,2.0,1.0,78.0,1500.0,3
2353,Electronic City,2.0,1.0,47.0,1070.0,2
2354,Electronic City,2.0,2.0,65.0,1296.0,2
2355,Electronic City,2.0,1.0,70.93,1140.0,2
2361,Electronic City,4.0,1.0,104.0,2093.0,4
2362,Electronic City,2.0,1.0,53.9,1025.0,2
2363,Electronic City,2.0,1.0,54.0,940.0,2
2364,Electronic City,1.0,1.0,21.0,435.0,1
2365,Electronic City,2.0,1.0,77.5,1500.0,3
2366,Electronic City,3.0,2.0,80.0,1631.0,3
2367,Electronic City,2.0,1.0,67.0,1355.0,2
2370,Electronic City,1.0,1.0,22.0,435.0,1
2372,Electronic City,2.0,1.0,50.0,1039.0,2
2373,Electronic City,1.0,1.0,39.9,770.0,2
2375,Electronic City,2.0,1.0,64.0,1128.0,2
2376,Electronic City,1.0,0.0,13.31,605.0,1
2378,Electronic City,1.0,1.0,13.5,530.0,1
2379,Electronic City,2.0,1.0,53.0,1070.0,2
2382,Electronic City,3.0,2.0,83.0,1571.0,3
2384,Electronic City,3.0,2.0,66.0,1350.0,3
2385,Electronic City,3.0,3.0,110.0,1652.0,3
2389,Electronic City,2.0,1.0,65.58,1128.0,2
2390,Electronic City,1.0,1.0,28.0,635.0,1
2391,Electronic City,2.0,1.0,65.4,1128.0,2
2394,Electronic City,2.0,1.0,72.9,1355.0,2
2398,Electronic City,3.0,3.0,115.0,1609.0,3
2399,Electronic City,1.0,1.0,35.0,770.0,2
2401,Electronic City,2.0,1.0,40.0,865.0,2
2404,Electronic City,2.0,1.0,63.0,1108.0,2
2405,Electronic City,1.0,1.0,40.5,630.0,1
2408,Electronic City,1.0,1.0,22.0,605.0,1
2410,Electronic City,2.0,1.0,48.0,1070.0,2
2412,Electronic City,2.0,1.0,70.0,1360.0,3
2413,Electronic City,1.0,0.0,28.0,635.0,1
2414,Electronic City,2.0,1.0,65.45,1128.0,2
2415,Electronic City,2.0,1.0,40.0,890.0,2
2423,Electronic City,1.0,1.0,33.7,630.0,1
2426,Electronic City,3.0,1.0,90.0,1400.0,3
2428,Electronic City,2.0,1.0,85.5,1258.0,2
2429,Electronic City,2.0,1.0,85.0,1386.0,2
2430,Electronic City,2.0,1.0,50.0,1025.0,2
2432,Electronic City,2.0,1.0,55.0,1070.0,2
2433,Electronic City,2.0,1.0,72.0,1342.0,2
2434,Electronic City,3.0,1.0,70.0,1275.0,3
2435,Electronic City,1.0,1.0,38.0,770.0,2
2439,Electronic City,3.0,2.0,92.59,1644.0,3
2440,Electronic City,2.0,1.0,62.0,1250.0,2
2443,Electronic City,1.0,1.0,12.0,418.0,1
2444,Electronic City,2.0,1.0,64.8,1128.0,2
2447,Electronic City,2.0,1.0,55.0,1060.0,2
2448,Electronic City,1.0,1.0,40.42,710.0,1
2451,Electronic City,3.0,3.0,63.43,1275.0,3
2452,Electronic City,3.0,3.0,75.0,1518.0,3
2453,Electronic City,2.0,1.0,31.48,1090.0,1
2456,Electronic City,2.0,1.0,55.0,1060.0,2
2458,Electronic City,2.0,3.0,75.0,1353.0,2
2459,Electronic City,2.0,1.0,67.0,1128.0,2
2460,Electronic City,2.0,1.0,57.0,1070.0,2
2461,Electronic City,3.0,2.0,90.0,1700.0,3
2463,Electronic City,1.0,1.0,35.0,750.0,1
2464,Electronic City,2.0,1.0,55.0,1210.0,2
2465,Electronic City,2.0,1.0,60.0,1070.0,2
2470,Electronic City,3.0,2.0,97.0,1615.0,3
2472,Electronic City,2.0,2.0,68.0,1221.0,2
2474,Electronic City,3.0,1.0,73.0,1500.0,3
2475,Electronic City,2.0,1.0,48.0,995.0,2
2476,Electronic City,2.0,1.0,90.0,1342.0,2
2478,Electronic City,2.0,1.0,63.5,1128.0,2
2479,Electronic City,1.0,1.0,29.0,589.0,1
2482,Electronic City,3.0,1.0,94.5,1575.0,3
2483,Electronic City,2.0,1.0,48.0,1070.0,2
2484,Electronic City,2.0,1.0,54.0,1025.0,2
2485,Electronic City,2.0,1.0,70.0,1500.0,3
2486,Electronic City,2.0,1.0,64.5,1500.0,3
2488,Electronic City,4.0,2.0,134.0,2093.0,4
2490,Electronic City,2.0,1.0,73.0,1355.0,2
2491,Electronic City,2.0,1.0,64.99,1360.0,3
2492,Electronic City,2.0,1.0,52.0,1060.0,2
2493,Electronic City Phase II,2.0,1.0,39.07,1056.0,2
2494,Electronic City Phase II,2.0,1.0,30.6,1020.0,2
2495,Electronic City Phase II,2.0,2.0,45.0,1069.0,2
2496,Electronic City Phase II,1.0,1.0,28.35,630.0,1
2498,Electronic City Phase II,2.0,1.0,25.0,1000.0,2
2499,Electronic City Phase II,2.0,1.0,28.34,1090.0,2
2500,Electronic City Phase II,4.0,0.0,98.88,2225.0,4
2502,Electronic City Phase II,2.0,2.0,38.0,775.0,2
2503,Electronic City Phase II,2.0,2.0,59.0,1266.0,2
2504,Electronic City Phase II,2.0,1.0,28.88,1000.0,2
2507,Electronic City Phase II,2.0,1.0,44.0,972.0,2
2509,Electronic City Phase II,2.0,1.0,55.0,1031.0,2
2510,Electronic City Phase II,2.0,1.0,40.6,1003.0,2
2511,Electronic City Phase II,2.0,1.0,56.35,1031.0,2
2513,Electronic City Phase II,2.0,1.0,62.78,1395.0,3
2514,Electronic City Phase II,2.0,1.0,33.5,1160.0,2
2515,Electronic City Phase II,2.0,1.0,30.75,1065.0,2
2516,Electronic City Phase II,2.0,1.0,61.25,1219.0,2
2518,Electronic City Phase II,2.0,1.0,28.88,1000.0,2
2519,Electronic City Phase II,3.0,3.0,100.0,1790.0,3
2520,Electronic City Phase II,2.0,1.0,40.0,769.0,2
2522,Electronic City Phase II,2.0,2.0,32.5,900.0,2
2525,Electronic City Phase II,3.0,2.0,52.47,1418.0,3
2526,Electronic City Phase II,2.0,2.0,45.0,1070.0,2
2529,Electronic City Phase II,2.0,1.0,33.06,1140.0,2
2530,Electronic City Phase II,2.0,0.0,32.67,1089.0,2
2531,Electronic City Phase II,2.0,1.0,55.0,1031.0,2
2532,Electronic City Phase II,2.0,1.0,65.8,1253.0,2
2534,Electronic City Phase II,2.0,1.0,33.5,1160.0,2
2535,Electronic City Phase II,4.0,1.5843757375501535,260.0,6000.0,4
2536,Electronic City Phase II,2.0,2.0,37.0,1116.0,2
2537,Electronic City Phase II,2.0,1.0,29.25,1125.0,2
2538,Electronic City Phase II,2.0,1.0,28.88,1000.0,2
2539,Electronic City Phase II,2.0,1.0,28.88,1000.0,2
2540,Electronic City Phase II,2.0,1.0,28.88,1000.0,2
2541,Electronic City Phase II,2.0,1.0,30.29,1165.0,2
2542,Electronic City Phase II,2.0,1.0,53.0,1031.0,2
2544,Electronic City Phase II,2.0,1.0,30.88,1065.0,2
2546,Electronic City Phase II,3.0,2.0,80.0,1549.0,3
2547,Electronic City Phase II,2.0,1.0,56.13,1065.0,2
2549,Electronic City Phase II,2.0,2.0,26.0,920.0,2
2550,Electronic City Phase II,2.0,1.0,33.84,1140.0,2
2551,Electronic City Phase II,2.0,1.0,61.26,1219.0,2
2552,Electronic City Phase II,2.0,3.0,65.0,1252.0,3
2553,Electronic City Phase II,2.0,1.0,32.49,1125.0,2
2555,Electronic City Phase II,2.0,2.0,69.0,1286.0,2
2557,Electronic City Phase II,2.0,1.0,32.92,1140.0,2
2558,Electronic City Phase II,2.0,2.0,40.0,1116.0,2
2559,Electronic City Phase II,3.0,3.0,46.0,1150.0,3
2560,Electronic City Phase II,2.0,3.0,47.0,1192.0,3
2562,Electronic City Phase II,2.0,2.0,32.0,1020.0,2
2563,Electronic City Phase II,3.0,1.0,97.0,1900.0,4
2564,Electronic City Phase II,2.0,1.0,27.43,1020.0,2
2565,Electronic City Phase II,2.0,1.0,26.65,1025.0,2
2566,Electronic City Phase II,2.0,1.0,29.45,1020.0,2
2567,Electronic City Phase II,2.0,1.0,28.88,1000.0,2
2569,Electronic City Phase II,2.0,2.0,28.5,1140.0,2
2570,Electronic City Phase II,2.0,1.0,32.49,1125.0,2
2571,Electronic City Phase II,2.0,1.0,34.65,1200.0,2
2572,Electronic City Phase II,2.0,1.0,52.2,1160.0,2
2573,Electronic City Phase II,2.0,1.0,55.0,1244.0,2
2574,Electronic City Phase II,2.0,1.0,33.51,1160.0,2
2577,Electronic City Phase II,2.0,1.0,40.0,972.0,2
2578,Electronic City Phase II,2.0,1.0,33.51,1160.0,2
2580,Electronic City Phase II,2.0,1.0,31.48,1090.0,2
2581,Electronic City Phase II,2.0,1.0,32.92,1140.0,2
2582,Electronic City Phase II,1.0,1.0,35.0,650.0,1
2583,Electronic City Phase II,2.0,1.0,57.0,1155.0,2
2584,Electronic City Phase II,3.0,3.0,92.0,1800.0,3
2585,Electronic City Phase II,2.0,2.0,28.0,1300.0,2
2586,Electronic City Phase II,2.0,1.0,33.5,1160.0,2
2587,Electronic City Phase II,2.0,1.0,29.6,1025.0,2
2588,Electronic City Phase II,2.0,1.0,22.8,829.0,2
2589,Electronic City Phase II,4.0,0.0,105.0,2187.5,4
2590,Electronic City Phase II,2.0,1.0,67.0,1252.0,2
2592,Electronic City Phase II,2.0,1.0,32.63,1125.0,2
2593,Electronic City Phase II,2.0,1.0,34.0,1140.0,2
2596,Electronic City Phase II,2.0,1.0,65.0,1252.0,3
2597,Electronic City Phase II,2.0,2.0,46.0,1135.0,2
2598,Electronic City Phase II,3.0,1.0,65.0,1305.0,3
2599,Electronic City Phase II,2.0,1.0,33.64,1165.0,2
2601,Electronic City Phase II,2.0,3.0,50.35,1336.0,3
2602,Electronic City Phase II,1.0,1.0,16.75,575.0,1
2603,Electronic City Phase II,2.0,1.0,30.76,1065.0,2
2604,Electronic City Phase II,2.0,1.0,30.75,1065.0,2
2605,Electronic City Phase II,2.0,1.0,33.06,1140.0,2
2606,Electronic City Phase II,2.0,1.0,26.5,911.0,2
2607,Electronic City Phase II,2.0,1.0,34.65,1200.0,2
2608,Electronic City Phase II,2.0,1.0,54.48,1031.0,2
2611,others,2.0,1.0,33.0,950.0,2
2613,Electronics City Phase 1,3.0,2.0,78.29,1475.0,3
2614,Electronics City Phase 1,3.0,1.0,78.8,1490.0,3
2615,Electronics City Phase 1,2.0,2.0,53.0,1113.27,2
2616,Electronics City Phase 1,3.0,1.0,84.0,1490.0,3
2623,Electronics City Phase 1,2.0,1.0,56.0,1015.0,2
2625,Electronics City Phase 1,2.0,1.0,80.91,1515.0,3
2626,Electronics City Phase 1,2.0,0.0,46.0,995.0,2
2627,Electronics City Phase 1,2.0,1.0,82.0,1555.0,3
2628,Electronics City Phase 1,2.0,2.0,75.0,1340.0,2
2629,Electronics City Phase 1,2.0,2.0,55.0,1124.0,3
2630,Electronics City Phase 1,2.0,1.0,57.0,1175.0,2
2631,Electronics City Phase 1,1.0,1.0,42.41,755.0,1
2632,Electronics City Phase 1,1.0,1.0,27.0,580.0,1
2633,Electronics City Phase 1,2.0,2.0,49.0,940.0,2
